,street_number,street_name,states,formed,removed,length_(mi),length_(km),southern_or_western_terminus,northern_or_eastern_terminus,wiki_link,wiki_id,coordinates_name,icon_name,notes
223,US 319,U.S. Route 319,"['Florida', 'Georgia']",1933.0,,318.0,512.0,"US 98 near Lanark Village, FL","US 1 in Wadley, GA",https://en.wikipedia.org/wiki/U.S._Route_319,Q4816637,u.s._route_319,u.s._route_319,
224,US 320,U.S. Route 320,"['Oregon', 'Idaho', 'Wyoming', 'Nebraska']",1926.0,1939.0,26.0,42.0,"Shoshoni, WY","Riverton, WY",https://en.wikipedia.org/wiki/U.S._Route_320,Q408902,u.s._route_320,u.s._route_320,Replaced by US 26
225,US 321,U.S. Route 321,"['South Carolina', 'North Carolina', 'Tennessee']",1930.0,,526.0,847.0,"US 17 in Hardeeville, SC","I-40 northwest of Lenoir City, TN",https://en.wikipedia.org/wiki/U.S._Route_321,Q4296949,u.s._route_321,u.s._route_321,
226,US 322,U.S. Route 322,"['Ohio', 'Pennsylvania', 'New Jersey']",1926.0,,494.0,795.0,"US 6, US 20, US 42, US 422 in Cleveland, OH","US 40 in Atlantic City, NJ",https://en.wikipedia.org/wiki/U.S._Route_322,Q1129908,u.s._route_322,u.s._route_322,
227,US 330,U.S. Route 330,['Illinois'],1926.0,1942.0,161.0,259.0,"Lynwood, IL","Galt, IL",https://en.wikipedia.org/wiki/U.S._Route_330,Q1068245,u.s._route_330,u.s._route_330,Redesignated IL 38
228,US 331,U.S. Route 331,"['Florida', 'Alabama']",1953.0,,151.0,243.0,"US 98 east of Santa Rosa Beach, FL","US 80, US 82 in Montgomery, AL",https://en.wikipedia.org/wiki/U.S._Route_331,Q2432619,u.s._route_331,u.s._route_331,
229,US 331,U.S. Route 331 (1926),"['Florida', 'Alabama', 'Georgia', 'South Carolina', 'North Carolina', 'Virginia', 'District of Columbia', 'Maryland']",1926.0,1936.0,45.0,72.0,"Flomaton, AL","Pensacola, FL",https://en.wikipedia.org/wiki/U.S._Route_331_(1926),Q408957,u.s._route_331_(1926),u.s._route_331_(1926),Replaced by US 29
230,US 340,U.S. Route 340,"['Virginia', 'West Virginia', 'Maryland']",1926.0,,156.0,251.0,"US 11 northeast of Greenville, VA","US 15, US 40 in Frederick, MD",https://en.wikipedia.org/wiki/U.S._Route_340,Q2852458,u.s._route_340,u.s._route_340,
231,US 341,U.S. Route 341,['Georgia'],1926.0,,226.0,364.0,"US 17 in Brunswick, GA","US 41 in Barnesville, GA",https://en.wikipedia.org/wiki/U.S._Route_341,Q4816730,u.s._route_341,u.s._route_341,"Intrastate, Georgia only"
232,US 350,U.S. Route 350,['Colorado'],1926.0,,80.0,130.0,"I-25, US 85, US 87, US 160 in Trinidad, CO","US 50 in La Junta, CO",https://en.wikipedia.org/wiki/U.S._Route_350,Q2139489,u.s._route_350,u.s._route_350,"Intrastate, Colorado only; Colorado signs the western end at US 160 northeast of Trinidad"
233,US 360,U.S. Route 360,['Virginia'],1933.0,,223.0,359.0,"US 58 Bus. in Danville, VA","Main Street/Reed Ave. in Reedville, VA",https://en.wikipedia.org/wiki/U.S._Route_360,Q4816793,u.s._route_360,u.s._route_360,"Intrastate, Virginia only"
234,US 366,U.S. Route 366 (1926),"['Texas', 'New Mexico']",1926.0,1931.0,437.0,703.0,"Amarillo, TX","El Paso, TX",https://en.wikipedia.org/wiki/U.S._Route_366_(1926),Q981600,,u.s._route_366_(1926),"Replaced by US 54, US 70, US 60, and US 84"
235,US 366,U.S. Route 366 (1930s),['New Mexico'],1931.0,1939.0,73.0,117.0,"Willard, NM","Albuquerque, NM",https://en.wikipedia.org/wiki/U.S._Route_366_(1930s),Q25346004,,u.s._route_366_(1930s),"Replaced by US 66 (now I-40), NM 41 and NM 333"
236,US 370,U.S. Route 370,['Texas'],1926.0,1939.0,289.0,465.0,"Bowie, TX","Amarillo, TX",https://en.wikipedia.org/wiki/U.S._Route_370,Q4818259,u.s._route_370,u.s._route_370,Replaced by US 287
237,US 371,U.S. Route 371,"['Louisiana', 'Arkansas']",1994.0,,246.0,396.0,"I-49 southwest of Coushatta, LA","US 59, US 70, US 71 in De Queen, AR",https://en.wikipedia.org/wiki/U.S._Route_371,Q4079858,u.s._route_371,u.s._route_371,
238,US 371,U.S. Route 371 (1930s),['Minnesota'],1931.0,1971.0,131.0,211.0,"Little Falls, MN","Bemidji, MN",https://en.wikipedia.org/wiki/U.S._Route_371_(1930s),Q2484846,u.s._route_371_(1930s),u.s._route_371_(1930s),"Intrastate, Minnesota only; redesignated MN 371"
239,US 377,U.S. Route 377,"['Texas', 'Oklahoma']",1930.0,,478.0,769.0,"US 90, US 277 in Del Rio, TX","US 70 in Madill, OK",https://en.wikipedia.org/wiki/U.S._Route_377,Q4816863,u.s._route_377,u.s._route_377,Oklahoma signs the northern end at I-44 at Stroud
240,US 378,U.S. Route 378,"['Georgia', 'South Carolina']",1952.0,,234.0,377.0,"US 78 in Washington, GA","US 701 in Conway, SC",https://en.wikipedia.org/wiki/U.S._Route_378,Q4297293,u.s._route_378,u.s._route_378,
241,US 380,U.S. Route 380,"['New Mexico', 'Texas']",1932.0,,673.0,1083.0,"I-25, US 85 in San Antonio, NM","I-30, US 67, US 69 in Greenville, TX",https://en.wikipedia.org/wiki/U.S._Route_380,Q981610,u.s._route_380,u.s._route_380,
242,US 383,U.S. Route 383,"['Kansas', 'Nebraska']",1941.0,1982.0,175.0,282.0,"Oakley, KS","Elm Creek, NE",https://en.wikipedia.org/wiki/U.S._Route_383,Q2396151,u.s._route_383,u.s._route_383,Partially redesignated as K-383
243,US 385,U.S. Route 385,"['Texas', 'Oklahoma', 'Colorado', 'Nebraska', 'South Dakota']",1958.0,,1206.0,1941.0,"Big Bend National Park, TX","US 85/US 14 Alt. in Deadwood, SD",https://en.wikipedia.org/wiki/U.S._Route_385,Q2139503,u.s._route_385,u.s._route_385,
244,US 385,U.S. Route 385 (1926),"['Texas', 'New Mexico', 'Colorado', 'Wyoming', 'Montana']",1926.0,1935.0,773.0,1244.0,"Raton, NM","Boerne, TX",https://en.wikipedia.org/wiki/U.S._Route_385_(1926),Q410730,u.s._route_385_(1926),u.s._route_385_(1926),Replaced by US 87
245,US 395,U.S. Route 395,"['California', 'Nevada', 'Oregon', 'Washington']",1926.0,,1305.0,2100.0,"I-15 in Hesperia, CA","Canadian border north of Laurier, WA",https://en.wikipedia.org/wiki/U.S._Route_395,Q1447963,u.s._route_395,u.s._route_395,
246,US 399,U.S. Route 399,['California'],1934.0,1964.0,137.0,220.0,"Bakersfield, CA","Ventura, CA",https://en.wikipedia.org/wiki/U.S._Route_399,Q798297,u.s._route_399,u.s._route_399,"Intrastate, California only, replaced by SR 33, SR 99, and SR 119"
